"V1","V2"
"BAH","ALG"
"COM","ALG"
"DJI","ALG"
"IRQ","ALG"
"JOR","ALG"
"KUW","ALG"
"LEB","ALG"
"LIB","ALG"
"MAA","ALG"
"MOR","ALG"
"OMA","ALG"
"QAT","ALG"
"SAU","ALG"
"SOM","ALG"
"SUD","ALG"
"SYR","ALG"
"TUN","ALG"
"YEM","ALG"
"BUI","ANG"
"CAO","ANG"
"CEN","ANG"
"CHA","ANG"
"EQG","ANG"
"GAB","ANG"
"NAM","ANG"
"RWA","ANG"
"ZIM","ANG"
"BOL","ARG"
"BRA","ARG"
"CAN","ARG"
"CHL","ARG"
"COL","ARG"
"COS","ARG"
"ECU","ARG"
"GUA","ARG"
"GUY","ARG"
"HAI","ARG"
"HON","ARG"
"JAM","ARG"
"MEX","ARG"
"NIC","ARG"
"PAN","ARG"
"PAR","ARG"
"PER","ARG"
"SAL","ARG"
"URU","ARG"
"USA","ARG"
"VEN","ARG"
"AZE","ARM"
"BLR","ARM"
"GRG","ARM"
"KYR","ARM"
"KZK","ARM"
"RUS","ARM"
"TAJ","ARM"
"UZB","ARM"
"USA","AUL"
"BLR","AZE"
"GRG","AZE"
"KYR","AZE"
"KZK","AZE"
"RUS","AZE"
"TAJ","AZE"
"TUR","AZE"
"UZB","AZE"
"CAN","BAH"
"COM","BAH"
"DJI","BAH"
"IRQ","BAH"
"JOR","BAH"
"KUW","BAH"
"LEB","BAH"
"LIB","BAH"
"MOR","BAH"
"OMA","BAH"
"QAT","BAH"
"SAU","BAH"
"SOM","BAH"
"SUD","BAH"
"SYR","BAH"
"TUN","BAH"
"YEM","BAH"
"CAN","BEL"
"CZR","BEL"
"DEN","BEL"
"FRN","BEL"
"GMY","BEL"
"GRC","BEL"
"HUN","BEL"
"ITA","BEL"
"NOR","BEL"
"NTH","BEL"
"POL","BEL"
"POR","BEL"
"SPN","BEL"
"TUR","BEL"
"UKG","BEL"
"USA","BEL"
"BFO","BEN"
"GAM","BEN"
"GHA","BEN"
"GNB","BEN"
"GUI","BEN"
"CDI","BEN"
"LBR","BEN"
"MAA","BEN"
"NIG","BEN"
"NIR","BEN"
"SEN","BEN"
"SIE","BEN"
"TOG","BEN"
"GAM","BFO"
"GHA","BFO"
"GNB","BFO"
"GUI","BFO"
"CDI","BFO"
"LBR","BFO"
"MAA","BFO"
"MLI","BFO"
"NIG","BFO"
"NIR","BFO"
"SEN","BFO"
"SIE","BFO"
"TOG","BFO"
"GRG","BLR"
"KYR","BLR"
"KZK","BLR"
"RUS","BLR"
"TAJ","BLR"
"UZB","BLR"
"BRA","BOL"
"CAN","BOL"
"CHL","BOL"
"COL","BOL"
"COS","BOL"
"ECU","BOL"
"GUA","BOL"
"GUY","BOL"
"HAI","BOL"
"HON","BOL"
"JAM","BOL"
"MEX","BOL"
"NIC","BOL"
"PAN","BOL"
"PAR","BOL"
"PER","BOL"
"SAL","BOL"
"URU","BOL"
"USA","BOL"
"VEN","BOL"
"CAN","BRA"
"CHL","BRA"
"COL","BRA"
"COS","BRA"
"ECU","BRA"
"GUA","BRA"
"GUY","BRA"
"HAI","BRA"
"HON","BRA"
"JAM","BRA"
"MEX","BRA"
"NIC","BRA"
"PAN","BRA"
"PAR","BRA"
"PER","BRA"
"SAL","BRA"
"URU","BRA"
"USA","BRA"
"VEN","BRA"
"CAO","BUI"
"CEN","BUI"
"CHA","BUI"
"EQG","BUI"
