"ccode","stateabb","styear"
700,"AFG",1919
339,"ALB",1914
615,"ALG",1962
540,"ANG",1975
160,"ARG",1841
371,"ARM",1991
900,"AUL",1920
305,"AUS",1919
373,"AZE",1991
692,"BAH",1971
211,"BEL",1830
434,"BEN",1960
439,"BFO",1960
760,"BHU",1971
370,"BLR",1991
771,"BNG",1971
145,"BOL",1848
571,"BOT",1966
140,"BRA",1822
516,"BUI",1962
355,"BUL",1908
811,"CAM",1953
20,"CAN",1920
471,"CAO",1960
437,"CDI",1960
482,"CEN",1960
483,"CHA",1960
155,"CHL",1839
710,"CHN",1860
100,"COL",1831
581,"COM",1975
94,"COS",1920
344,"CRO",1992
40,"CUB",1902
352,"CYP",1960
316,"CZR",1993
390,"DEN",1816
522,"DJI",1977
816,"DRV",1954
130,"ECU",1854
651,"EGY",1855
411,"EQG",1968
531,"ERI",1993
366,"EST",1918
530,"ETH",1898
950,"FIJ",1970
375,"FIN",1917
220,"FRN",1816
481,"GAB",1960
420,"GAM",1965
452,"GHA",1957
255,"GMY",1816
404,"GNB",1974
350,"GRC",1828
372,"GRG",1991
90,"GUA",1868
438,"GUI",1958
110,"GUY",1966
41,"HAI",1859
91,"HON",1899
310,"HUN",1918
750,"IND",1947
850,"INS",1949
205,"IRE",1922
630,"IRN",1855
645,"IRQ",1932
666,"ISR",1948
325,"ITA",1816
51,"JAM",1962
663,"JOR",1946
740,"JPN",1860
501,"KEN",1963
690,"KUW",1961
703,"KYR",1991
705,"KZK",1991
812,"LAO",1953
367,"LAT",1918
450,"LBR",1920
660,"LEB",1946
570,"LES",1966
620,"LIB",1951
368,"LIT",1918
435,"MAA",1960
343,"MAC",1993
580,"MAG",1960
820,"MAL",1957
590,"MAS",1968
553,"MAW",1964
70,"MEX",1831
359,"MLD",1991
432,"MLI",1960
712,"MON",1921
600,"MOR",1847
541,"MZM",1975
565,"NAM",1990
790,"NEP",1920
920,"NEW",1920
93,"NIC",1900
475,"NIG",1960
436,"NIR",1960
385,"NOR",1905
210,"NTH",1816
698,"OMA",1971
770,"PAK",1947
95,"PAN",1903
150,"PAR",1846
135,"PER",1839
840,"PHI",1946
910,"PNG",1975
290,"POL",1918
235,"POR",1816
694,"QAT",1971
360,"ROM",1878
365,"RUS",1816
517,"RWA",1962
560,"SAF",1920
92,"SAL",1875
670,"SAU",1927
433,"SEN",1960
451,"SIE",1961
830,"SIN",1965
349,"SLV",1992
940,"SOL",1978
520,"SOM",1960
230,"SPN",1816
780,"SRI",1948
625,"SUD",1956
572,"SWA",1968
380,"SWD",1816
225,"SWZ",1816
652,"SYR",1946
702,"TAJ",1991
713,"TAW",1949
510,"TAZ",1961
800,"THI",1887
701,"TKM",1991
461,"TOG",1960
616,"TUN",1825
640,"TUR",1816
500,"UGA",1962
200,"UKG",1816
369,"UKR",1991
165,"URU",1882
2,"USA",1816
704,"UZB",1991
101,"VEN",1841
679,"YEM",1990
345,"YUG",1878
551,"ZAM",1964
552,"ZIM",1965
